Theme,Sub Theme,Name,Latitude,Longitude,Google Maps Rating
Public Service,Fire Station,Metropolitan Fire Brigade (MFB),-37.80923186,144.9752476,4.3
Arts & Culture,Museum,Koorie Heritage Trust Inc,-37.81338543,144.9540279,4.6
Other,University,RMIT University,-37.80807954,144.964453,3.9
Leisure,Parks,Macarthur Square,-37.79833187,144.9715141,4.5
Transport,Railway Station,North Melbourne Railway Station,-37.80738236,144.9424298,4.3
Arts & Culture,Historical Landmark,Cooks' Cottage,-37.81446049,144.9794713,4.4
Arts & Culture,Museum,Royal Exhibition Building,-37.80460262,144.9715219,4.6
Public Service,Public Buildings,Melbourne Childrens Court,-37.81250776,144.9582989,3.1
Leisure,Sky Views,Eureka Skydeck 88,-37.82161876,144.9646222,4.5
Public Service,Public Buildings,County Court Melbourne,-37.81320116,144.9577342,3.6
Health Services,Private Hospital,Epworth Freemasons Hospital,-37.81097107,144.9837001,2.4
Heritage,Church,Church of Christ,-37.81045241,144.9638892,4.5
Heritage,Church,Holy Trinity,-37.81406671,144.9831973,4.7
Heritage,Church,Holy Rosary,-37.79480874,144.9283621,4.2
Public Service,Police Station,Victoria Police,-37.82197739,144.953398,
Arts & Culture,Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,4.5
Arts & Culture,Exhibition Centre,Melbourne Exhibition Centre,-37.82524551,144.9543524,4.5
Arts & Culture,Theatre Live,MTC Theatre,-37.82426618,144.9681744,4.4
Leisure,Parks,Shrine of Rembrance Reserve,-37.8320734,144.9736284,4.8
Leisure,Indoor Recreation,Icehouse,-37.81218812,144.935684,4.5
Transport,Railway Station,Parliament Railway Station,-37.81276211,144.9734338,5
Transport,Railway Station,Flemington Racecourse Railway Station,-37.78691058,144.9081907,2.9
Leisure,Indoor Recreation,Carlton Baths,-37.7934377,144.9716965,3.8
Arts & Culture,Exhibition Centre,Dallas Brooks Centre,-37.80973741,144.9813834,4
Heritage,Church,St James Church,-37.81012812,144.9524686,4.4
Heritage,Church,St Michael's Uniting Church,-37.81438513,144.969174,4.4
Heritage,Synagogue,East Melbourne Synagogue,-37.80911373,144.9742219,4.9
Leisure,Sports & Stadiums,Flemington Racecourse,-37.79080826,144.912143,4.4
Leisure,Parks,Treasury Gardens,-37.81439936,144.9759523,4.6
Public Service,Government Office,Melbourne Magistrates Court,-37.81361477,144.9568462,2.9
Leisure,Sports & Stadiums,Melbourne Cricket Ground (MCG),-37.81949216,144.9834029,4.7
Other,Vacant Land,Melbourne International Karting Complex,-37.83107464,144.9138229,4.6
Heritage,Church,St Patricks Cathedral,-37.8101141,144.9759015,4.7
Public Service,Government Office,Parliament House,-37.81124666,144.9737264,4.3
Arts & Culture,Historical Landmark,Former Royal Mint,-37.81218387,144.9570555,5
Leisure,Parks,Queen Victoria Gardens,-37.82163812,144.9710495,4.6
Leisure,Parks,New Quay,-37.81521788,144.9416179,4.2
Attractions,Film & RV Studio,Central City Studios,-37.81423185,144.9356553,4.7
Transport,Marina,New Quay Marina,-37.81529255,144.9422837,4
Leisure,Sports & Stadiums,Rod Laver Arena,-37.82204561,144.9784872,4.7
Leisure,Sports & Stadiums,Melbourne Park,-37.8209086,144.9787358,4.6
Leisure,Sports & Stadiums,Hisense Arena,-37.82311,144.9818348,4.5
Arts & Culture,Museum,Melbourne Museum,-37.80355181,144.9716907,4.6
