Census year,Block ID,Building address,Area,Name,Business address,Industry (ANZSIC4) code,Sub Theme,Seating type,Number of seats,Longitude,Latitude,Theme,Google Maps Rating
2023,6,Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,Melbourne (CBD),Pilgrim Bar,Vault 15-19 Princes Walk MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,40,144.9686538,-37.81867875,Food & Drink,4.5
2023,6,Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Beer De Luxe,"Tenancy 17 & 23, Lvls 1-2 Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000",4520,Bars and Pubs,Seats - Indoor,200,144.9699416,-37.81777783,Food & Drink,4.1
2023,11,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Ibean Coffee Specialists,"Shop G1, Ground 517 Flinders Lane MELBOURNE VIC 3000",4512,Takeaway Food,Seats - Indoor,10,144.9564864,-37.81987545,Food & Drink,4.6
2023,11,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Romo Pizza Bar,21 Katherine Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,25,144.9564864,-37.81987545,Food & Drink,4.7
2023,14,11-15 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,11-15 Elizabeth Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,130,144.9644993,-37.81782906,Food & Drink,2.4
2023,14,17-19 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Hungry Jack's,"Shop G1, Ground 17-19 Elizabeth Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,35,144.9644467,-37.81771541,Food & Drink,3.7
2023,15,River View House 274-282 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Shujinko Flinders,280 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,46,144.9650858,-37.81765996,Food & Drink,4.3
2023,15,Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),RMB Cafe,37 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,24,144.9654761,-37.81710293,Food & Drink,3.8
2023,16,164-170 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Nando's,"Shop 1-2, 170 Flinders Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.9690857,-37.81670964,Food & Drink,3.5
2023,17,1-9 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Le Petit Cafe,"Shop 4, 9 Exhibition Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,14,144.972041,-37.8158427,Food & Drink,4.5
2023,17,95-101 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Garden State Hotel,95-101 Flinders Lane MELBOURNE VIC 3000,4520,Bars and Pubs,Seats - Outdoor,8,144.9710987,-37.8155272,Food & Drink,4.1
2023,17,121-123 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Father's Office Downtown,"Unit 1, Gnd & Bmt 121 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,169,144.9705136,-37.81567232,Food & Drink,4.5
2023,18,37-45 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cumulus Inc,Part Ground & Level 1 45 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,141,144.9731346,-37.81494042,Food & Drink,4.5
