"Daily Weather Observations for Melbourne, Victoria for October 2024"
"Prepared at 13:01 UTC on Sunday 12 October 2025   IDCJDW3050.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,8.5,17.2,0,4.0,5.2,SSW,30,10:59,15.3,67,7,W,6,1025.0,16.2,62,6,S,13,1025.3
,2024-10-2,7.4,17.1,0,3.6,11.3,SSW,30,17:04,13.5,59,1,SSE,11,1030.7,15.0,60,1,S,17,1027.8
,2024-10-3,8.0,26.1,0,4.0,11.3,N,39,09:40,17.1,65,2,NNE,7,1026.5,25.8,34,2,N,15,1020.7
,2024-10-4,17.1,24.4,0,8.4,4.6,N,63,10:40,19.6,59,2,NNE,20,1011.8,21.6,49,7,N,20,1006.2
,2024-10-5,11.9,20.1,0.2,6.6,6.1,NNW,44,11:41,17.3,56,7,NNW,15,1006.0,15.1,88,8,WSW,2,1004.6
,2024-10-6,12.8,20.8,12.6,3.2,6.9,NNW,37,12:54,14.9,65,3,NNW,11,1009.5,19.4,41,7,WNW,15,1011.6
,2024-10-7,14.2,18.0,0.2,5.6,0.2,SW,44,12:53,15.6,64,7,NNW,17,1014.4,14.4,78,7,S,11,1017.4
,2024-10-8,9.5,14.2,0.2,3.0,10.7,SSW,35,15:11,11.8,51,4,SE,11,1026.6,13.8,50,4,SSW,17,1027.0
,2024-10-9,4.4,19.2,0,4.4,11.7,SW,20,11:42,10.6,63,1,SE,2,1027.2,16.5,46,1,SSW,11,1022.5
,2024-10-10,10.3,20.0,0,6.0,10.6,N,50,07:02,15.3,58,6,N,20,1019.4,17.5,49,1,S,15,1021.7
,2024-10-11,7.9,16.7,0,5.0,6.8,S,31,12:01,12.3,59,1,WSW,7,1026.3,15.3,56,7,S,15,1025.5
,2024-10-12,11.0,17.0,0,5.0,10.4,SSW,37,15:25,12.8,57,4,SSE,11,1030.0,16.2,53,1,SSW,19,1027.1
,2024-10-13,7.2,24.3,0,5.4,10.2,N,48,09:23,15.8,52,5,N,15,1022.1,23.0,32,7,N,24,1017.7
,2024-10-14,14.5,19.8,0,6.8,8.8,SSW,39,16:10,16.0,83,4,S,6,1019.1,17.9,73,1,SSW,13,1018.5
,2024-10-15,10.4,26.9,0,3.0,8.1,NE,28,12:15,14.6,77,3,NNW,2,1021.3,25.8,38,7,NE,9,1017.0
,2024-10-16,14.6,25.2,1.8,6.2,7.8,NNW,37,11:48,18.5,65,5,N,15,1018.1,24.5,45,6,N,17,1014.9
,2024-10-17,16.2,25.7,0,7.2,4.6,N,46,09:46,21.3,65,7,N,15,1013.7,25.2,46,7,NNE,13,1009.7
,2024-10-18,19.3,21.9,4.0,3.6,2.1,N,39,01:50,19.9,84,8,N,17,999.5,20.0,94,6, ,Calm,997.4
,2024-10-19,13.2,16.8,32.4,5.8,7.5,SW,39,01:53,13.4,89,8,SSW,19,1016.3,16.5,74,6,S,13,1019.0
,2024-10-20,13.2,17.6,0,4.0,10.0,SSW,31,14:57,15.2,74,5,SSE,9,1024.5,17.1,70,5,SSW,13,1024.1
,2024-10-21,9.8,27.8,0,5.4,11.5,E,22,14:59,14.0,79,4,NNE,9,1021.6,25.2,45,1,SSW,6,1017.1
,2024-10-22,13.9,30.6,0,6.8,8.3,S,44,15:27,22.0,48,7,N,22,1012.7,29.7,32,6,N,20,1009.5
,2024-10-23,13.1,19.6,0,5.6,7.9,SW,54,18:50,13.4,74,7,SW,6,1012.9,18.1,52,2,S,13,1008.4
,2024-10-24,10.4,16.9,0,6.4,11.5,S,35,12:59,13.4,59,5,WSW,11,1015.7,15.5,49,7,S,17,1014.9
,2024-10-25,9.8,15.4,0.2,6.8,8.5,S,35,13:05,11.0,70,4,WSW,11,1020.8,15.0,44,3,S,13,1021.4
,2024-10-26,5.9,22.8,0.2,2.6,11.1,NNE,30,16:23,11.6,60,3, ,Calm,1021.7,20.4,32,1,SSW,9,1017.3
,2024-10-27,11.5,25.7,0,7.6,6.5,NNW,39,09:00,18.9,35,7,N,17,1015.8,25.4,31,5,SSW,7,1014.0
,2024-10-28,12.3,17.1,0,6.8,11.0,SE,35,13:05,14.3,76,7,SSW,11,1022.9,16.2,53,7,SSE,15,1024.0
,2024-10-29,10.0,18.6,0,5.2,7.3,SSW,28,18:35,13.8,67,7,SW,7,1026.5,17.9,53,1,S,11,1024.7
,2024-10-30,11.8,21.5,0,5.2,9.3,S,31,17:01,13.7,68,7,W,7,1020.2,19.4,50,1,S,9,1015.8
,2024-10-31,12.3,18.7,0,5.2,5.0,SSW,33,15:37,14.1,74,4,SSW,6,1014.2,17.1,54,7,SSW,11,1013.7
