"Daily Weather Observations for Melbourne, Victoria for November 2024"
"Prepared at 13:01 UTC on Saturday 11 October 2025   IDCJDW3050.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,12.1,16.6,0,4.0,7.6,SW,33,14:32,12.9,53,7,SE,11,1020.0,16.0,47,4,S,15,1021.0
,2024-11-2,7.4,25.8,0,5.2,7.8,N,44,13:45,13.0,64,1,NNW,9,1019.6,24.8,23,7,N,20,1013.0
,2024-11-3,12.9,21.3,0,14.4,11.5,N,57,03:34,18.7,60,3,SSW,19,1008.6,20.7,42,1,S,15,1009.2
,2024-11-4,12.9,19.2,0,7.6,7.7,S,30,17:33,15.5,57,6,SW,7,1015.1,18.8,47,4,SSW,9,1015.6
,2024-11-5,9.5,26.0,0,4.8,10.7,S,20,13:31,15.6,63,1, ,Calm,1017.3,23.4,43,1,S,9,1012.4
,2024-11-6,15.5,32.8,0,8.4,7.2,N,56,10:07,25.9,29,7,N,22,1005.5,29.0,42,7,WNW,6,1002.4
,2024-11-7,14.0,21.6,1.4,10.2,6.1,SSW,28,14:12,15.0,63,7,S,7,1011.0,19.8,46,6,S,13,1007.2
,2024-11-8,11.9,19.9,1.8,5.2,8.1,NW,46,12:16,15.7,55,6,NNW,19,1010.9,17.9,44,2,W,17,1013.3
,2024-11-9,8.2,19.0,0.6,5.2,5.9,NNW,30,09:05,14.2,56,2,N,9,1020.3,18.7,37,7,SW,6,1018.4
,2024-11-10,9.6,20.9,0,4.2,11.1,S,28,11:47,15.2,67,4,E,4,1024.0,19.1,47,3,SSW,13,1022.5
,2024-11-11,10.0,24.7,0,6.4,9.4,SSE,33,16:19,16.3,66,1,SE,2,1020.9,21.3,62,7,SSW,15,1017.8
,2024-11-12,13.2,25.0,0,6.8,5.7,WSW,28,17:05,17.7,72,4,N,2,1016.3,22.2,65,7,SW,7,1011.5
,2024-11-13,15.9,18.3,1.8,3.8,4.1,SSE,35,14:54,17.6,90,7,SW,2,1012.0,17.1,67,5,S,17,1014.3
,2024-11-14,13.2,17.4,5.4,3.8,7.7,SSW,37,14:40,14.2,55,7,SSE,11,1020.4,17.1,50,1,S,11,1019.9
,2024-11-15,10.5,20.7,0,6.6,10.8,SSW,30,11:46,15.2,52,7,SE,7,1021.4,17.5,53,3,S,15,1018.7
,2024-11-16,10.7,33.6,0,7.8,10.0,NNW,52,13:29,20.7,53,6,N,4,1015.5,32.0,23,7,N,26,1010.3
,2024-11-17,19.9,23.7,0,15.6,5.6,N,56,02:27,22.5,46,7,WSW,4,1001.4,18.6,51,3,NNW,7,1007.3
,2024-11-18,11.9,18.9,1.8,7.4,9.3,NW,41,23:01,15.2,56,7,W,13,1018.3,17.4,56,6,SSW,13,1020.0
,2024-11-19,13.5,17.1,0,5.6,9.8,SSW,37,15:46,14.6,53,7,SSE,7,1025.3,16.8,52,1,SSW,17,1024.6
,2024-11-20,13.0,17.8,0,4.0,7.6,S,33,15:29,14.4,59,7,SSE,9,1025.9,16.9,59,7,S,17,1024.0
,2024-11-21,10.4,25.6,0,5.6,11.3,SSW,28,14:45,15.1,77,1,N,9,1023.3,22.7,60,4,SW,13,1018.9
,2024-11-22,15.0,37.0,0,8.0,9.4,,,,23.1,59,4,NNE,9,1019.8,35.5,18,7,SSE,11,1016.0
,2024-11-23,22.7,36.5,0,13.8,3.8,S,44,16:06,29.0,30,7,N,17,1015.4,35.9,19,7,WNW,11,1012.0
,2024-11-24,18.5,21.9,9.8,10.0,0.0,SSW,20,18:17,19.2,100,8, ,Calm,1017.1,21.0,92,8,SSW,7,1016.1
,2024-11-25,16.7,18.7,5.2,0.0,0.0,SSW,22,09:05,17.2,100,8,SSW,11,1015.0,18.1,100,8,WSW,6,1012.8
,2024-11-26,17.0,26.5,1.4,0.0,5.3,WSW,22,16:40,18.3,100,7,NW,7,1010.0,24.5,68,7,SSW,9,1006.5
,2024-11-27,18.3,31.0,24.4,8.6,6.2,NW,50,11:38,21.3,100,7,N,7,1001.5,24.1,62,6,WSW,17,1000.2
,2024-11-28,15.7,24.8,8.4,6.2,9.7,SSW,35,14:29,19.3,70,5,SSW,7,1013.8,23.7,58,3,S,11,1014.4
,2024-11-29,17.0,30.2,0,6.8,12.2,SSE,37,17:08,21.2,72,7,SE,2,1017.5,27.2,59,1,SSW,9,1013.6
,2024-11-30,19.6,23.9,1.4,7.6,1.5,NW,26,19:43,19.7,100,8,S,2,1009.2,22.3,95,7,E,9,1001.1
