"Daily Weather Observations for Melbourne, Victoria for March 2025"
"Prepared at 16:01 UTC on Tuesday  7 October 2025   IDCJDW3050.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,14.8,25.1,0,6.4,11.3,SSW,31,17:27,18.4,71,7,NNW,6,1015.4,23.5,48,1,SW,9,1013.8
,2025-03-2,15.9,21.0,0,8.0,2.4,SSW,35,16:08,18.6,71,8, ,Calm,1017.1,20.3,60,7,SE,13,1018.4
,2025-03-3,11.4,20.7,0.4,5.2,10.2,SSW,37,15:55,16.1,66,7,ESE,4,1022.4,20.2,55,3,SSW,17,1021.8
,2025-03-4,11.9,33.1,0,6.6,10.9,NW,33,15:09,14.5,76,0,NNE,7,1021.3,31.0,34,1,N,7,1017.5
,2025-03-5,14.5,35.3,0,10.4,11.5,S,43,15:17,24.3,44,0,N,15,1019.7,34.6,26,1,ENE,6,1016.5
,2025-03-6,18.2,23.5,0,8.4,3.2,SSE,31,21:18,18.4,87,8,SSW,9,1024.1,21.4,74,7,S,11,1022.2
,2025-03-7,16.2,28.7,0,3.2,11.1,SE,26,23:08,18.9,81,0,NE,6,1022.4,27.9,43,1,SSW,11,1019.8
,2025-03-8,15.6,33.3,0,7.6,11.2,NNW,35,09:15,20.6,67,0,NNE,7,1020.7,32.8,17,1,SSE,9,1017.7
,2025-03-9,18.3,34.5,0,11.0,8.3,NNW,39,14:09,22.0,56,4,NNE,11,1018.9,33.6,32,7,N,22,1014.3
,2025-03-10,21.8,32.2,1.8,11.6,11.2,NNW,28,09:15,23.3,73,2,N,7,1018.2,31.9,38,1,S,11,1016.3
,2025-03-11,19.8,32.5,0,8.6,8.7,SSE,30,14:46,22.2,72,6, ,Calm,1020.6,31.3,40,5,SSE,11,1018.7
,2025-03-12,20.6,35.4,0,7.2,6.6,NNW,43,10:19,25.6,54,7,N,15,1018.9,33.3,31,6,NNE,22,1015.1
,2025-03-13,18.1,23.9,2.6,9.0,5.9,SSW,26,16:24,19.7,75,8,SSW,4,1019.4,23.0,60,1,SSW,11,1018.2
,2025-03-14,14.5,27.4,0,5.2,10.0,SSW,28,17:23,15.4,93,6,NE,9,1019.3,25.8,36,7,SSW,13,1018.8
,2025-03-15,15.4,34.9,0,6.2,5.3,SSW,35,21:13,20.8,73,7,NE,9,1016.5,33.8,28,7,WNW,4,1011.8
,2025-03-16,20.1,21.4,4.6,9.2,1.3,SSW,48,16:26,20.3,97,8,NNE,2,1006.7,14.8,86,7,W,13,1010.5
,2025-03-17,11.1,19.1,18.0,4.2,4.7,SSE,31,09:25,13.7,70,7,W,4,1023.5,18.5,48,5,S,15,1024.3
,2025-03-18,11.5,25.0,0,3.2,11.4,SE,22,19:29,13.3,66,1,NE,9,1023.9,23.2,44,1,SSW,9,1019.4
,2025-03-19,12.4,32.5,0,6.2,10.4,,,,15.1,75,2,N,7,1017.4,30.7,33,6,N,17,1012.0
,2025-03-20,15.1,27.9,0,10.4,0.9,N,54,11:01,25.3,53,7,N,24,1011.4,24.4,66,7,N,22,1010.2
,2025-03-21,15.5,19.6,11.8,2.8,0.8,SSE,24,02:16,15.9,86,8,SSE,6,1017.4,18.6,65,7,SSE,7,1017.1
,2025-03-22,10.7,20.1,0.6,2.4,11.1,S,26,15:32,13.7,86,1, ,Calm,1019.8,19.5,51,1,S,13,1019.5
,2025-03-23,11.4,21.8,0,4.2,10.3,S,28,17:53,14.2,98,1, ,Calm,1021.4,21.1,58,1,S,11,1019.3
,2025-03-24,14.2,21.0,0,4.2,4.3,SSW,33,14:44,17.8,71,7,SSE,7,1021.8,20.2,59,7,S,13,1021.3
,2025-03-25,12.8,22.4,0,4.0,9.4,SSW,30,16:59,15.6,87,1,ESE,2,1023.6,22.0,60,1,SW,11,1020.6
,2025-03-26,15.6,21.1,0,3.6,3.4,S,31,14:10,18.0,79,8,SSE,9,1023.4,20.7,63,7,S,13,1022.8
,2025-03-27,14.6,21.1,0,3.8,9.3,S,28,12:07,17.0,69,7,SSE,9,1024.8,20.6,65,1,SSW,13,1022.5
,2025-03-28,14.5,30.1,0,6.2,5.6,N,33,10:29,16.3,96,7,NNE,9,1019.9,29.6,39,7,N,15,1016.4
,2025-03-29,16.3,21.5,0.2,6.2,0.0,SSW,33,16:26,20.3,83,7,SW,4,1015.6,19.7,75,7,S,17,1016.0
,2025-03-30,16.4,21.5,0.4,1.6,4.7,SSE,43,13:31,17.1,74,7,SE,13,1020.7,20.9,51,7,ESE,19,1019.8
,2025-03-31,14.9,21.9,0,6.2,6.8,ESE,41,09:58,16.4,61,6,SE,13,1021.4,20.8,41,7,SE,13,1019.6
