"Daily Weather Observations for Melbourne, Victoria for May 2025"
"Prepared at 13:01 UTC on Sunday  5 October 2025   IDCJDW3050.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,7.6,18.9,0,2.8,10.1,SSE,28,15:40,12.5,73,1,NE,6,1033.0,18.5,40,2,SE,13,1030.4
,2025-05-2,6.9,21.0,0,2.6,10.2,N,17,10:50,10.2,80,1,NE,7,1034.8,20.9,34,0,WNW,2,1031.4
,2025-05-3,6.6,21.2,0,4.0,7.9,NNE,33,11:56,11.0,65,3,NE,9,1034.6,20.5,32,7,N,17,1030.4
,2025-05-4,10.9,23.2,0,6.4,7.7,N,43,12:51,16.7,42,6,N,17,1030.7,22.6,37,7,N,20,1026.8
,2025-05-5,14.8,24.6,0,6.4,7.4,NNW,43,13:36,17.6,47,7,N,17,1024.6,24.2,39,1,N,22,1019.2
,2025-05-6,17.5,26.7,0,8.4,9.5,N,46,12:33,19.2,49,1,N,22,1016.7,25.8,31,1,NNW,26,1013.0
,2025-05-7,16.1,20.8,0,7.8,5.0,WSW,41,14:14,17.5,68,5,NNW,15,1014.7,18.4,58,4,W,13,1016.0
,2025-05-8,9.7,16.7,1.2,2.8,6.1,S,28,11:17,12.2,67,6,WNW,9,1029.1,16.0,51,7,S,11,1029.3
,2025-05-9,8.5,18.0,0,2.6,7.2,SSW,15,16:18,11.6,72,5,NE,9,1034.0,17.2,56,1,SW,6,1030.8
,2025-05-10,7.1,19.0,0,1.4,9.7,NNE,15,04:06,10.5,79,0,NE,7,1032.4,18.4,61,0,SSW,6,1028.3
,2025-05-11,8.1,23.4,0,2.8,9.7,NNW,26,12:04,12.1,68,1,NE,9,1028.5,22.9,35,5,N,11,1024.9
,2025-05-12,9.2,20.2,0,5.0,9.3,S,20,13:42,13.9,70,1,NNE,7,1027.3,19.5,50,1,SSW,7,1025.4
,2025-05-13,7.9,22.5,0,3.2,8.8,NE,13,06:01,10.7,83,1,NNE,7,1026.5,21.3,48,1,SSW,6,1022.4
,2025-05-14,9.3,18.9,0,3.6,7.6,WSW,20,12:12,12.5,69,2,NNW,2,1022.3,18.2,64,2,SSW,7,1021.0
,2025-05-15,9.2,17.6,0,,4.3,S,17,12:19,11.3,87,5,NE,6,1024.5,17.0,54,6,S,9,1022.1
,2025-05-16,6.5,17.9,0,1.4,4.6,NW,24,13:47,9.7,80,1,NNE,7,1021.4,16.8,49,6,N,7,1017.8
,2025-05-17,9.7,13.8,5.8,1.8,0.0,S,37,15:18,11.3,100,7,SSE,11,1020.2,11.4,89,7,SSW,7,1021.1
,2025-05-18,5.9,14.4,7.2,2.6,8.4,SSE,35,14:41,10.4,62,3,E,2,1030.2,13.9,35,4,S,17,1030.1
,2025-05-19,2.0,14.6,0,1.6,9.6,SSW,22,14:30,6.0,72,1,NE,4,1034.2,13.9,50,1,SSW,11,1032.3
,2025-05-20,2.7,18.2,0,1.8,9.6,NNW,28,11:19,6.1,74,0,NE,9,1032.5,17.1,37,0,SSW,6,1029.4
,2025-05-21,3.1,15.0,0,2.2,8.9,S,17,13:58,6.2,73,1,NE,7,1030.7,14.1,53,1,SSW,7,1026.7
,2025-05-22,5.3,17.4,0,1.8,3.2,SSE,20,15:43,7.3,85,7,NNE,2,1026.5,16.4,73,7,SW,6,1021.6
,2025-05-23,7.3,16.8,0,0.6,0.7,NNW,24,23:56,13.0,99,7,NNE,2,1015.9,15.6,87,7,SSW,4,1010.5
,2025-05-24,12.5,18.9,1.4,0.6,7.4,N,41,14:06,14.7,59,1,NNW,13,1010.3,17.4,49,7,N,19,1008.8
,2025-05-25,10.9,19.1,0.2,6.0,9.3,N,41,13:46,12.7,58,1,N,13,1015.4,18.3,42,1,N,24,1011.6
,2025-05-26,12.7,20.3,0,6.4,8.6,NNW,52,20:46,15.2,46,1,N,20,1006.8,19.6,36,5,N,17,1000.3
,2025-05-27,9.3,15.1,0,5.0,2.4,NW,31,10:51,11.2,61,5,NNW,17,1007.0,14.3,73,7,WSW,11,1010.4
,2025-05-28,11.2,14.6,3.2,1.8,0.6,S,39,15:37,12.5,74,7,SW,7,1022.2,13.9,73,7,SSW,13,1021.4
,2025-05-29,12.0,15.8,2.2,1.4,4.5,SSW,26,00:33,13.0,81,7,W,2,1025.2,15.3,69,3,SSW,9,1024.2
,2025-05-30,10.4,15.3,0,1.0,1.9,SSW,19,11:24,12.6,73,7,WSW,6,1028.5,14.9,63,7,S,9,1027.6
,2025-05-31,10.3,16.2,0,1.1,5.7,SW,19,14:40,13.1,79,7, ,Calm,1029.7,14.9,67,1,SSW,7,1027.5
