"Daily Weather Observations for Melbourne, Victoria for September 2025"
"Prepared at 13:01 UTC on Tuesday 14 October 2025   IDCJDW3050.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,9.7,15.7,0.2,1.6,5.6,NNW,22,00:51,12.4,68,7,NW,9,1025.4,15.2,56,7,SSW,6,1023.1
,2025-09-2,8.7,17.2,0,2.8,4.9,NNW,43,15:51,13.1,71,7,NNW,13,1022.5,16.4,50,7,NNW,22,1017.6
,2025-09-3,11.6,19.4,0.2,4.2,4.1,NW,48,14:08,13.7,58,6,N,20,1015.4,18.5,32,7,WNW,19,1012.8
,2025-09-4,10.6,15.8,0.4,3.8,5.6,SSW,39,11:50,12.8,58,7,NNW,9,1016.2,12.8,59,7,SSW,15,1018.4
,2025-09-5,4.2,15.4,1.2,2.8,9.7,SSW,26,16:19,8.3,72,1,N,7,1030.2,13.7,50,1,S,11,1027.6
,2025-09-6,3.7,22.1,0,3.6,9.2,N,43,12:30,9.7,68,6,NNE,9,1026.7,21.4,31,6,N,20,1021.3
,2025-09-7,9.7,20.8,0,7.8,4.0,N,61,09:40,20.3,46,7,N,22,1015.0,19.7,63,1,N,26,1009.8
,2025-09-8,13.1,20.1,0.6,4.4,9.5,N,43,12:58,16.4,59,1,NNW,15,1014.2,18.5,49,5,NNW,24,1012.0
,2025-09-9,10.8,16.2,1.2,4.0,5.8,S,30,17:19,11.6,93,7,SW,9,1017.0,14.3,54,6,SSE,7,1014.7
,2025-09-10,7.6,14.0,0.2,3.4,1.1,S,39,16:19,11.5,80,7,SSE,9,1012.9,12.6,63,7,SSE,17,1009.6
,2025-09-11,9.0,14.6,1.0,2.0,4.5,S,28,08:34,12.2,76,7,S,11,1018.2,13.5,64,7,S,17,1019.6
,2025-09-12,7.4,17.1,0.4,1.6,4.0,WSW,24,11:34,11.4,75,7,WNW,7,1025.0,16.3,59,7,S,9,1023.6
,2025-09-13,11.3,17.0,0,1.2,4.2,SSW,20,11:25,14.0,78,7,NW,7,1027.3,15.9,65,7,S,9,1025.1
,2025-09-14,10.8,21.4,0,2.0,10.5,N,50,15:41,16.2,58,1,N,15,1022.0,20.5,38,4,NNW,20,1016.7
,2025-09-15,14.4,24.2,0,7.6,9.2,N,72,13:48,16.7,44,6,N,24,1013.0,23.6,32,4,N,33,1007.1
,2025-09-16,15.7,18.6,0,12.6,4.4,NNW,46,11:53,16.0,56,7,NNW,20,1008.1,17.9,43,7,WNW,15,1005.7
,2025-09-17,10.2,16.1,7.2,5.0,6.2,NW,39,12:59,12.6,54,3,WNW,11,1017.2,13.9,42,7,W,15,1018.9
,2025-09-18,6.4,19.8,0,4.4,9.8,N,50,15:30,13.9,58,1,N,17,1022.7,18.9,38,3,N,24,1017.8
,2025-09-19,13.6,23.1,0,7.0,9.8,N,65,10:15,17.2,41,5,N,20,1011.0,21.3,43,6,N,22,1004.6
,2025-09-20,8.4,15.2,0.2,8.8,4.2,NW,35,12:13,11.1,58,7,WNW,11,1011.9,14.9,39,7,W,13,1011.6
,2025-09-21,10.5,17.2,0,3.8,0.4,W,39,16:47,13.4,63,7,NNW,19,1014.2,17.1,53,7,NNW,7,1012.2
,2025-09-22,7.9,13.9,2.2,2.4,8.3,SSW,43,10:25,11.3,67,5,WSW,11,1023.7,12.4,63,4,S,17,1025.8
,2025-09-23,8.6,17.7,0.6,3.4,6.4,S,28,09:31,13.8,62,7,W,11,1029.0,17.3,49,7,WSW,11,1025.1
,2025-09-24,12.9,17.3,0,3.8,2.6,WSW,33,11:52,14.5,65,7,W,11,1022.3,13.7,71,7,SSW,7,1020.5
,2025-09-25,11.6,17.2,1.0,2.6,0.0,WNW,31,05:19,14.2,64,7,NNW,11,1015.7,16.5,52,8,NW,9,1013.0
,2025-09-26,13.2,24.2,0,3.8,2.2,NW,43,15:53,14.3,59,7,N,13,1008.7,23.4,29,6,NW,20,1004.4
,2025-09-27,10.9,19.5,0.2,5.4,9.8,NW,37,16:07,13.8,54,4,WNW,13,1012.5,19.1,36,6,WNW,11,1009.7
,2025-09-28,10.6,16.1,0,6.0,7.1,SSW,22,08:53,12.5,69,7,SSW,13,1017.2,15.1,45,7,S,11,1016.8
,2025-09-29,6.4,22.5,0,3.8,4.8,N,44,13:12,14.7,56,1,NNE,9,1017.8,21.9,36,2,N,24,1012.7
,2025-09-30,13.4,21.0,0.8,7.0,4.1,W,33,13:44,14.3,79,7,ENE,7,1003.5,19.4,46,6,SW,15,1001.4
