"Daily Weather Observations for Melbourne, Victoria for October 2025"
"Prepared at 00:36 UTC on Wednesday 15 October 2025   IDCJDW3050.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,10.5,18.3,1.2,4.6,7.2,N,59,13:46,13.8,59,4,NNW,20,1005.9,17.0,49,6,NNW,26,1003.8
,2025-10-2,8.9,15.2,3.6,6.4,4.0,WNW,50,00:08,12.5,51,6,WNW,13,1006.3,14.2,61,8,NW,13,1008.4
,2025-10-3,12.0,18.6,0.6,4.4,5.7,W,37,13:07,15.0,63,5,W,11,1018.8,16.1,74,8,S,11,1020.5
,2025-10-4,9.4,25.3,0,3.8,11.1,N,31,11:48,15.2,74,7,NNE,9,1024.7,23.6,44,,SSW,6,1019.5
,2025-10-5,15.2,26.3,0,,1.2,N,48,07:55,19.8,41,,NNW,28,1015.3,24.9,34,8,N,22,1009.8
,2025-10-6,11.5,17.2,2.6,15.8,5.3,SSW,43,00:51,11.9,71,7,WSW,9,1015.5,15.6,42,7,W,13,1016.2
,2025-10-7,9.7,19.7,0,4.2,11.5,N,37,14:51,12.1,56,1,WNW,7,1016.3,18.3,39,2,NW,17,1012.7
,2025-10-8,9.7,23.8,0,6.2,7.8,NW,46,15:27,14.4,54,7,N,19,1008.8,22.4,38,3,NNW,20,1004.5
,2025-10-9,12.5,21.2,0,7.8,9.3,NNW,56,11:37,15.4,48,1,NNW,17,1007.1,19.9,40,6,W,11,1008.8
,2025-10-10,13.7,21.9,0,7.6,9.5,NW,56,13:20,16.1,48,3,NNW,20,1008.5,20.5,41,6,NNW,28,1007.9
,2025-10-11,13.4,22.0,0,7.8,8.9,W,43,08:55,15.1,57,7,N,13,1011.2,21.6,34,7,NW,19,1009.1
,2025-10-12,10.2,20.1,2.0,7.8,3.7,S,76,17:55,13.3,67,8,NNW,9,1012.1,18.5,40,7,NNW,19,1009.2
,2025-10-13,8.1,17.4,4.0,5.6,10.5,SW,28,15:57,10.4,68,1,SW,11,1021.1,16.1,41,1,ENE,9,1018.7
,2025-10-14,7.8,19.3,0,4.6,10.8,W,30,10:13,13.6,61,6,N,9,1018.4,18.3,49,7,S,13,1018.4
,2025-10-15,8.9,,0,6.2,,,,,13.6,68,0,WNW,6,1022.2,,,,,,
